,V1,V2
1,FDZ074.WuRG28.30.dereplicated_genomes.bin.5,-0.004596955
2,FDZ054.Be8.10.dereplicated_genomes.bin.32,0.166475275
3,FDZ058.Be0.2.dereplicated_genomes.bin.95,-0.372604772
4,FDZ062.GYBk28.30.dereplicated_genomes.bin.23,-0.626257576
5,FDZ061.WW22.24.dereplicated_genomes.bin.24,-0.017690987
6,FDZ070.WuBeBe10.12.dereplicated_genomes.bin.145,-0.198423811
7,FDZ044.RBk2.4.dereplicated_genomes.bin.58,-0.095194356
8,FDZ069.GRR10.12.dereplicated_genomes.bin.60,-0.754563669
9,FDZ064.YGR8.10.dereplicated_genomes.bin.88,-0.068030538
10,FDZ062.RRR18.20.dereplicated_genomes.bin.8,-0.254217133
11,FDZ046.G0.2.dereplicated_genomes.bin.76,-0.199293348
12,FDZ060.HbY0.2.dereplicated_genomes.bin.49,-0.095527767
13,FDZ070.GBeBe16.18.dereplicated_genomes.bin.31,-0.192937396
14,FDZ069.WuWuWu14.16.dereplicated_genomes.bin.3,0.051043727
15,FDZ051.Be16.18.dereplicated_genomes.bin.78,0.128109496
16,FDZ043.RG8.10.dereplicated_genomes.bin.36,0.141089066
17,FDZ070.GBeBe16.18.dereplicated_genomes.bin.4,-0.777067791
18,FDZ046.G4.6.dereplicated_genomes.bin.60,-2.036151002
19,FDZ069.GBeBe10.12.dereplicated_genomes.bin.45,0.514714274
20,FDZ056.Be6.8.dereplicated_genomes.bin.13,0.299539492
21,FDZ069.WuWuWu2.4.dereplicated_genomes.bin.69,-0.146921429
22,FDZ053.RBk20.22.dereplicated_genomes.bin.43,0.039166636
23,FDZ072.RRR32.35.dereplicated_genomes.bin.19,-0.435492172
24,FDZ043.RG6.8.dereplicated_genomes.bin.56,-1.638753154
25,FDZ070.GBkY22.24.dereplicated_genomes.bin.39,-0.718315201
26,FDZ076.BkWG24.26.dereplicated_genomes.bin.45,0.124453709
27,FDZ072.WuWY2.4.dereplicated_genomes.bin.142,0.074211071
28,FDZ076.RGWu10.12.dereplicated_genomes.bin.142,0.061603918
29,FDZ077.WuWW10.12.dereplicated_genomes.bin.41,-0.984663695
30,FDZ050.RBk10.12.dereplicated_genomes.bin.31,1.099828936
31,FDZ077.WuWW12.14.dereplicated_genomes.bin.110,-0.180615644
32,FDZ070.RYBk8.10.dereplicated_genomes.bin.12,-0.244139596
33,FDZ069.BaYG_BaYR8.10.dereplicated_genomes.bin.17,-0.105658545
34,FDZ077.WuWW0.2.dereplicated_genomes.bin.176,-0.596667748
35,FDZ050.RBk22.24.dereplicated_genomes.bin.8,0.881078586
36,FDZ069.RGY24.26.dereplicated_genomes.bin.14,-0.178758584
37,FDZ033.YG2.4.dereplicated_genomes.bin.154,0.359036465
38,FDZ064.RRG6.8.dereplicated_genomes.bin.151,-0.981763687
39,FDZ050.RBk10.12.dereplicated_genomes.bin.83,-0.293977034
40,FDZ077.WuWW4.6.dereplicated_genomes.bin.3,0.106505233
41,FDZ060.HbY8.10.dereplicated_genomes.bin.14,0.296407611
42,FDZ077.WuWW4.6.dereplicated_genomes.bin.8,-0.639646244
43,FDZ053.RBk18.20.dereplicated_genomes.bin.106,-0.763116853
44,FDZ070.WuRG6.8.dereplicated_genomes.bin.63,-0.137218935
45,FDZ070.GBkY10.12.dereplicated_genomes.bin.82,-0.986938108
46,FDZ050.RBk10.12.dereplicated_genomes.bin.73,-0.472542815
47,FDZ069.WuWuWu2.4.dereplicated_genomes.bin.37,-0.677786059
48,FDZ070.GBkY16.18.dereplicated_genomes.bin.38,0.107295537
49,FDZ076.RRW20.22.dereplicated_genomes.bin.5,-0.180417853
50,FDZ053.RBk14.16.dereplicated_genomes.bin.137,-0.853491987
51,FDZ072.WRR12.14.dereplicated_genomes.bin.7,-0.424109317
52,FDZ074.WuYW10.12.dereplicated_genomes.bin.10,-0.498265532
53,FDZ054.RG20.22.dereplicated_genomes.bin.16,-0.448577322
54,FDZ070.GBkY24.26.dereplicated_genomes.bin.86,-0.245668996
55,FDZ070.RYBk14.16.dereplicated_genomes.bin.37,0.759603078
56,FDZ072.GBeBeWu.dereplicated_genomes.bin.34,-0.086062619
57,FDZ070.GBkY24.26.dereplicated_genomes.bin.82,0.246610134
58,FDZ043.RG12.14.dereplicated_genomes.bin.3,-0.078297994
59,FDZ074.GRW14.16.dereplicated_genomes.bin.13,-0.139661806
60,FDZ072.GRR24.26_26_.dereplicated_genomes.bin.2,-0.393736208
61,FDZ076.WRG14.16.dereplicated_genomes.bin.94,-0.087221861
62,FDZ062.RRR14.16.dereplicated_genomes.bin.29,-0.287093212
63,FDZ069.GRR14.16.dereplicated_genomes.bin.36,-0.184025336
64,FDZ081.Wu26.28.dereplicated_genomes.bin.28,0.155883556
65,FDZ070.GBkY14.16.dereplicated_genomes.bin.10,-0.190187836
66,FDZ070.GBeBe16.18.dereplicated_genomes.bin.167,-0.049746515
67,FDZ058.Be0.2.dereplicated_genomes.bin.101,-0.939361071
68,FDZ058.Be18.20.dereplicated_genomes.bin.72,-0.332269182
69,FDZ064.YGR10.12.dereplicated_genomes.bin.18,1.043941399
70,FDZ070.WuWY4.6.dereplicated_genomes.bin.34,0.181731586
71,FDZ064.YGR8.10.dereplicated_genomes.bin.119,-0.585358578
72,FDZ081.YBaR2.4.dereplicated_genomes.bin.27,-0.222466833
73,FDZ076.WRG14.16.dereplicated_genomes.bin.18,-1.628854855
74,FDZ070.GBkY26.28.dereplicated_genomes.bin.62,-0.711344183
75,FDZ072.Wu2.4.dereplicated_genomes.bin.48,-0.413567956
76,FDZ072.WuWY6.8.dereplicated_genomes.bin.44,-0.371257715
77,FDZ071.RRG2.4.dereplicated_genomes.bin.83,-0.120813695
78,FDZ064.RRG8.10.dereplicated_genomes.bin.40,-0.359098714
79,FDZ064.RRG6.8.dereplicated_genomes.bin.88,-0.341025035
80,FDZ070.GBkY22.24.dereplicated_genomes.bin.15,-0.2726735
81,FDZ069.GRR22.24.dereplicated_genomes.bin.27,-0.076708113
82,FDZ070.GBkY6.8.dereplicated_genomes.bin.16,-1.023859642
83,FDZ070.GBeBe16.18.dereplicated_genomes.bin.115,-0.204687332
84,FDZ081.BeBeG16.18.dereplicated_genomes.bin.55,-0.958825935
85,FDZ076.BkWG18.20.dereplicated_genomes.bin.76,-0.099536677
86,FDZ074.WuWW24.26.dereplicated_genomes.bin.38,-0.482375657
87,FDZ066.BUG2.4.dereplicated_genomes.bin.27,0.149004049
88,FDZ036.RY0.2.dereplicated_genomes.bin.58,-0.041194895
89,FDZ060.HbY12.14.dereplicated_genomes.bin.31,-0.38730108
