,V1,V2
1,FDZ076.YW.A16.18.dereplicated_genomes.bin.61,-0.609070159
2,FDZ061.WW22.24.dereplicated_genomes.bin.24,-0.425465164
3,FDZ070.WuBeBe10.12.dereplicated_genomes.bin.145,-1.610899801
4,FDZ070.GBkY28.30.dereplicated_genomes.bin.2,0.008334846
5,FDZ071.RRG10.12.dereplicated_genomes.bin.52,-0.228098508
6,FDZ060.HbY0.2.dereplicated_genomes.bin.49,-0.807752454
7,FDZ069.WuWuWu14.16.dereplicated_genomes.bin.3,-0.923970111
8,FDZ051.Be16.18.dereplicated_genomes.bin.78,-0.702266915
9,FDZ069.GBeBe10.12.dereplicated_genomes.bin.45,-0.448909212
10,FDZ056.Be6.8.dereplicated_genomes.bin.13,0.066687255
11,FDZ069.WuWuWu2.4.dereplicated_genomes.bin.69,0.212508468
12,FDZ053.RBk20.22.dereplicated_genomes.bin.43,-0.211608418
13,FDZ072.RRR32.35.dereplicated_genomes.bin.19,0.364268255
14,FDZ074.GRR6.8.dereplicated_genomes.bin.28,0.036774634
15,FDZ070.WuWW8.10.dereplicated_genomes.bin.10,-0.381404426
16,FDZ072.GRR2.4_26_.dereplicated_genomes.bin.2,-0.488193526
17,FDZ054.RG28.30.dereplicated_genomes.bin.7,-0.214146829
18,FDZ076.BkWG24.26.dereplicated_genomes.bin.45,-0.230814357
19,FDZ072.WuWY2.4.dereplicated_genomes.bin.142,-0.533064353
20,FDZ064.RRG6.8.dereplicated_genomes.bin.137,0.319405023
21,FDZ076.RGWu10.12.dereplicated_genomes.bin.142,-0.315443557
22,FDZ077.WuWW10.12.dereplicated_genomes.bin.41,-0.122287106
23,FDZ077.WuWW12.14.dereplicated_genomes.bin.110,-1.817409212
24,FDZ070.RYBk8.10.dereplicated_genomes.bin.12,-0.747012777
25,FDZ074.WuYW10.12.dereplicated_genomes.bin.1,-0.2218156
26,FDZ069.BaYG_BaYR8.10.dereplicated_genomes.bin.17,-0.392350892
27,FDZ077.WuWW0.2.dereplicated_genomes.bin.176,0.257658594
28,FDZ033.YBk0.2.dereplicated_genomes.bin.59,-0.28418177
29,FDZ050.RBk22.24.dereplicated_genomes.bin.8,-0.911573076
30,FDZ069.RGY24.26.dereplicated_genomes.bin.14,-0.570882433
31,FDZ033.GG2.4.dereplicated_genomes.bin.61,-0.046089298
32,FDZ060.HbY8.10.dereplicated_genomes.bin.14,-0.362801953
33,FDZ077.WuWW4.6.dereplicated_genomes.bin.8,-0.261809321
34,FDZ070.WuRG6.8.dereplicated_genomes.bin.63,0.259036123
35,FDZ070.GBkY10.12.dereplicated_genomes.bin.82,0.168830186
36,FDZ050.RBk10.12.dereplicated_genomes.bin.73,-1.121398052
37,FDZ070.GBkY16.18.dereplicated_genomes.bin.38,-0.259101701
38,FDZ070.GBkY26.28.dereplicated_genomes.bin.102,-0.297572319
39,FDZ076.RRW20.22.dereplicated_genomes.bin.5,-0.032938006
40,FDZ053.RBk14.16.dereplicated_genomes.bin.137,-1.877199039
41,FDZ072.GBeBe4.6.dereplicated_genomes.bin.66,-0.099703611
42,FDZ072.WRR12.14.dereplicated_genomes.bin.7,-0.519775842
43,FDZ070.WuRG6.8.dereplicated_genomes.bin.65,-0.909629027
44,FDZ054.RG20.22.dereplicated_genomes.bin.16,-0.360213915
45,FDZ070.GBkY24.26.dereplicated_genomes.bin.82,-0.366086168
46,FDZ072.GRR24.26_26_.dereplicated_genomes.bin.2,-0.542286511
47,FDZ070.GBkY24.26.dereplicated_genomes.bin.17,0.558391395
48,FDZ076.WRG14.16.dereplicated_genomes.bin.94,-1.056672272
49,FDZ061.WW8.10.dereplicated_genomes.bin.111,-0.801479046
50,FDZ081.Wu26.28.dereplicated_genomes.bin.28,-0.163653008
51,FDZ074.WuYW10.12.dereplicated_genomes.bin.2,-0.147479772
52,FDZ070.GBeBe16.18.dereplicated_genomes.bin.167,-0.129492195
53,FDZ064.YGR8.10.dereplicated_genomes.bin.119,0.289595577
54,FDZ081.YBaR2.4.dereplicated_genomes.bin.27,-0.615665226
55,FDZ050.RBk12.14.dereplicated_genomes.bin.141,-0.230919321
56,FDZ074.WuYW12.14.dereplicated_genomes.bin.49,-0.091844009
57,FDZ070.GBkY22.24.dereplicated_genomes.bin.15,-0.747442368
58,FDZ070.GBkY10.12.dereplicated_genomes.bin.130,-1.385046232
59,FDZ069.WuWW16.18.dereplicated_genomes.bin.46,-0.410200748
60,FDZ070.RYBk22.24.dereplicated_genomes.bin.48,0.048023755
61,FDZ070.WuWW12.14.dereplicated_genomes.bin.29,0.245688025
62,FDZ076.BkWG18.20.dereplicated_genomes.bin.76,-0.269597765
63,FDZ076.RGWu26.28.dereplicated_genomes.bin.107,-0.192224058
64,FDZ070.GBkY14.16.dereplicated_genomes.bin.19,-0.147352341
65,FDZ069.BaYG_BaYR6.8.dereplicated_genomes.bin.55,-0.660274073
66,FDZ072.GRR6.8_26_.dereplicated_genomes.bin.67,-0.411860839
67,FDZ051.Be4.6.dereplicated_genomes.bin.49,-0.512974071
68,FDZ062.RRR24.26.dereplicated_genomes.bin.7,0.286637462
69,FDZ077.WuWW4.6.dereplicated_genomes.bin.19,-0.566587542
70,FDZ060.GBeBe18.20.dereplicated_genomes.bin.61,-1.110391295
71,FDZ070.GBkY28.30.dereplicated_genomes.bin.31,0.512204379
72,FDZ064.BuG10.12.7.dereplicated_genomes.bin.45,-0.510125542
73,FDZ069.WuWW4.6.dereplicated_genomes.bin.5,-0.003072212
74,FDZ070.WuWW20.22.dereplicated_genomes.bin.23,0.095108763
75,FDZ071.RRG28.30.dereplicated_genomes.bin.16,-0.601647558
76,FDZ062.GYBe14.16.dereplicated_genomes.bin.4,-0.36097765
77,FDZ053.RBk16.18.dereplicated_genomes.bin.10,0.152704663
78,FDZ076.BkWG10.12.dereplicated_genomes.bin.41,-0.222688934
79,FDZ070.RYBk4.6.dereplicated_genomes.bin.87,-0.467350942
80,FDZ069.RGY4.6.dereplicated_genomes.bin.28,-0.24370516
81,FDZ050.RBk28.30.dereplicated_genomes.bin.19,-0.41574164
82,FDZ064.RWG12.14.dereplicated_genomes.bin.30,-1.357353911
83,FDZ053.RBk18.20.dereplicated_genomes.bin.135,-0.847065268
84,FDZ070.GBkY30.33.dereplicated_genomes.bin.38,0.062820945
85,FDZ053.RBk14.16.dereplicated_genomes.bin.133,-1.189253033
86,FDZ076.WRG4.6.dereplicated_genomes.bin.26,-0.133763745
87,FDZ069.GBeBe14.16.dereplicated_genomes.bin.41,-0.212246233
88,FDZ0385.6.dereplicated_genomes.bin.12,-0.480426547
89,FDZ069.GRR20.22.dereplicated_genomes.bin.48,-0.271945549
90,FDZ076.GGR14.16.dereplicated_genomes.bin.2,-0.069060396
91,FDZ051.Be12.14.dereplicated_genomes.bin.50,0.326768182
92,FDZ050.Bk2.4.dereplicated_genomes.bin.19,-0.164655606
93,FDZ064.YGR8.10.dereplicated_genomes.bin.27,0.295004788
94,FDZ061.WW26.28.dereplicated_genomes.bin.14,0.06576022
95,FDZ050.RBk28.30.dereplicated_genomes.bin.76,-0.436623459
96,FDZ070.RYBk12.14.dereplicated_genomes.bin.149,-0.658364327
97,FDZ070.WuWW6.8.dereplicated_genomes.bin.82,-0.969473013
98,FDZ074.WuYW10.12.dereplicated_genomes.bin.29,-0.612235924
99,FDZ062.GYBk0.2.dereplicated_genomes.bin.2,-0.229315808
100,FDZ070.RYBk6.8.dereplicated_genomes.bin.6,-0.491310517
101,FDZ074.GRW14.16.dereplicated_genomes.bin.40,-0.630130563
102,FDZ043.RG8.10.dereplicated_genomes.bin.71,-0.374413864
103,FDZ050.Be0.2.dereplicated_genomes.bin.83,-0.525264668
104,FDZ062.GYBe26.28.dereplicated_genomes.bin.7,-0.394064763
105,FDZ053.RBk20.22.dereplicated_genomes.bin.88,-0.737964812
106,FDZ074.GRW14.16.dereplicated_genomes.bin.31,0.218434353
107,FDZ053.RBk20.22.dereplicated_genomes.bin.18,-0.747540169
108,FDZ054.RG8.10.dereplicated_genomes.bin.31,-0.034445286
109,FDZ054.Be22.24.dereplicated_genomes.bin.46,-0.099300228
110,FDZ070.GBkY4.6.dereplicated_genomes.bin.6,-0.574195803
111,FDZ069.GRR10.12.dereplicated_genomes.bin.27,0.131804325
112,FDZ061.WW8.10.dereplicated_genomes.bin.46,-1.016027177
113,FDZ033.YG4.6.dereplicated_genomes.bin.1,-0.676236307
114,FDZ070.GBkY16.18.dereplicated_genomes.bin.52,-0.579540922
115,FDZ060.NsHhwD3.dereplicated_genomes.bin.22,-0.153249401
116,FDZ070.WuRG6.8.dereplicated_genomes.bin.47,-1.044143538
117,FDZ070.GBkY26.28.dereplicated_genomes.bin.71,-0.614325892
118,FDZ070.WuWY10.12.dereplicated_genomes.bin.42,-0.426367806
119,FDZ062.WuYW0.2.dereplicated_genomes.bin.122,-0.165514341
120,FDZ072.WuWY6.8.dereplicated_genomes.bin.25,-0.921708974
121,FDZ062.RRR0.2.dereplicated_genomes.bin.52,-0.190780445
122,FDZ077.WuYW14.16.dereplicated_genomes.bin.3,-0.145666491
123,FDZ070.GBeBe16.18.dereplicated_genomes.bin.81,-0.088135412
124,FDZ070.GBkY28.30.dereplicated_genomes.bin.45,0.060939012
125,FDZ062.RRR14.16.dereplicated_genomes.bin.7,0.035821134
126,FDZ064.BaGW12.14.dereplicated_genomes.bin.47,0.73291366
127,FDZ070.RYBk20.22.dereplicated_genomes.bin.47,-0.100328004
128,FDZ064.RRG6.8.dereplicated_genomes.bin.44,-0.59914251
129,FDZ072.GRW4.6.dereplicated_genomes.bin.22,-0.203743559
130,FDZ071.RRR6.8.dereplicated_genomes.bin.25,0.020983117
131,FDZ050.RBk28.30.dereplicated_genomes.bin.82,0.283455763
132,FDZ069.GBeBe28.30.dereplicated_genomes.bin.33,-0.079112625
133,FDZ069.WuWuWu14.16.dereplicated_genomes.bin.89,-0.55175907
134,FDZ060.HbY14.16.dereplicated_genomes.bin.95,0.192401059
135,FDZ070.GBkY26.28.dereplicated_genomes.bin.115,-0.236926082
136,FDZ076.RRW20.22.dereplicated_genomes.bin.7,-0.40452563
137,FDZ070.WuWY20.22.dereplicated_genomes.bin.17,0.176797282
138,FDZ053.RBk20.22.dereplicated_genomes.bin.33,-0.555753702
139,FDZ054.Be14.16.dereplicated_genomes.bin.14,0.191743204
140,FDZ070.RYBk6.8.dereplicated_genomes.bin.10,-1.134093625
141,FDZ062.GYBe14.16.dereplicated_genomes.bin.32,-0.135309339
142,FDZ081.BeBeG26.28.dereplicated_genomes.bin.92,-0.313813612
143,FDZ050.RBk12.14.dereplicated_genomes.bin.9,-0.24729569
144,FDZ061.WW24.26.dereplicated_genomes.bin.2,0.239873239
145,FDZ069.RGG4.6.dereplicated_genomes.bin.30,-0.65094429
146,FDZ081.BeBeG26.28.dereplicated_genomes.bin.2,0.109108058
147,FDZ071.WGBa18.20.dereplicated_genomes.bin.3,-0.539445713
148,FDZ081.Wu6.8.dereplicated_genomes.bin.50,0.006052959
149,FDZ054.Be20.22.dereplicated_genomes.bin.24,1.043936987
150,FDZ054.Be32.34.dereplicated_genomes.bin.3,-0.235222785
151,FDZ069.GBeBe18.20.dereplicated_genomes.bin.2,-0.316420868
