,KO,difference.deter.stocha,cat
1,K00097,-50.21032883,Cofactor & Vitamin
2,K02066,-41.60067148,Others
3,K03474,-38.72321517,Cofactor & Vitamin
4,K03559,-38.59357587,Others
5,K03305,-37.99884327,Others
6,K03832,-37.58241758,Others
7,K02065,-36.99459719,Others
8,K00957,-36.18064862,Sulfur
9,K03561,-35.9834389,Others
10,K03439,-35.59931725,Others
11,K00946,-35.58464642,Cofactor & Vitamin
12,K02477,-35.07949047,Others
13,K10026,-34.1761063,Others
14,K03595,-33.91640452,Others
15,K07221,-33.45638957,Others
16,K00215,-33.05886668,Others
17,K07735,-32.72143774,Others
18,K02067,-32.64878895,Others
19,K16092,-31.92709729,Others
20,K03841,-31.55863392,Carbon
21,K02558,-31.38131445,Others
22,K01012,-31.37750568,Cofactor & Vitamin
23,K03308,-31.09086036,Others
24,K00821,-31.08281962,Others
25,K00349,-30.75963831,Others
26,K02114,-30.69347854,ATP
27,K01524,-30.52899604,Others
28,K09761,-30.52843178,Others
29,K12340,-30.34546968,Others
30,K03648,-30.23967047,Others
31,K08484,-30.18070504,Others
32,K00350,-30.15291512,Others
33,K06891,-30.01890279,Others
34,K03310,-29.93779006,Others
35,K00346,-29.93186531,Others
36,K00652,-29.46874691,Cofactor & Vitamin
37,K02426,-29.36238344,Others
38,K00351,-29.31286942,Others
39,K03734,-29.27125506,Others
40,K04485,-29.2702676,Others
41,K03309,-29.2124307,Others
42,K06142,-29.1825248,Others
43,K03218,-29.12835559,Others
44,K02911,-29.01959401,Others
45,K04744,-28.93551891,Others
46,K02621,-28.73393615,Others
47,K03711,-28.6923218,Others
48,K05807,-28.64040965,Others
49,K00640,-28.59907743,Others
50,K07696,-28.59117776,Others
51,K07095,-28.52798036,Others
52,K00133,-28.50371708,Others
53,K02113,-28.39551976,ATP
54,K00281,-28.34459507,Carbon
55,K01714,-28.31751048,Others
56,K03147,-28.21396831,Cofactor & Vitamin
57,K08974,-28.18434454,Others
58,K06158,-28.05075541,Others
59,K09808,-27.97006588,Others
60,K00259,-27.87541085,Others
61,K00390,-27.84578708,Sulfur
62,K02622,-27.7944392,Others
63,K22074,-27.76001918,Others
64,K11720,-27.71135155,Others
65,K05801,-27.62473727,Others
66,K12410,-27.61190029,Others
67,K07091,-27.6024489,Others
68,K01665,-27.48240206,Others
69,K22391,-27.46025476,Cofactor & Vitamin
70,K03558,-27.15132108,Others
71,K02497,-27.07415819,Others
72,K00937,-26.95538094,Others
73,K03545,-26.90572585,Others
74,K07058,-26.86665068,Others
75,K15461,-26.82108648,Others
76,K14287,-26.73672925,Others
77,K03149,-26.70216818,Cofactor & Vitamin
78,K00560,-26.63756013,Others
79,K02014,-26.61357897,Others
80,K00348,-26.58776397,Others
81,K00275,-26.56970757,Cofactor & Vitamin
82,K03654,-26.5658988,Others
83,K01782,-26.4990337,Others
84,K01918,-26.49085189,Cofactor & Vitamin
85,K03770,-26.47575788,Others
86,K15780,-26.45332844,Others
87,K03585,-26.36459818,Others
88,K22618,-26.3571217,Others
89,K06169,-26.34781137,Others
90,K01586,-26.31268603,Others
91,K00891,-26.26415946,Carbon
92,K01082,-26.22325043,Others
93,K03210,-26.19856396,Others
94,K01814,-26.06948891,Others
95,K07714,-26.03506891,Others
96,K09810,-25.84124477,Others
97,K03978,-25.81021033,Others
98,K03771,-25.78890942,Others
99,K07001,-25.75787499,Others
100,K07146,-25.71654276,Others
101,K14055,-25.65235791,Others
102,K01673,-25.57039879,Others
103,K00703,-25.5637687,Carbon
104,K02970,-25.50141771,Others
105,K01955,-25.49619828,Others
106,K08301,-25.49478762,Others
107,K01423,-25.48025787,Others
108,K02371,-25.45119835,Others
109,K00788,-25.44964664,Cofactor & Vitamin
110,K14445,-25.43356515,Others
111,K15725,-25.31901987,Others
112,K03315,-25.23579117,Others
113,K00286,-25.20207649,Others
114,K08997,-25.09670047,Others
115,K00278,-25.01925545,Cofactor & Vitamin
116,K03281,-24.92685748,Others
117,K00606,-24.89610518,Cofactor & Vitamin
118,K13598,-24.88961616,Others
119,K16089,-24.83826828,Others
120,K00537,-24.81372286,Others
121,K01991,-24.76279818,Others
122,K02348,-24.75306465,Others
123,K02115,-24.71751612,ATP
124,K02954,-24.63414634,Others
125,K02018,-24.63231249,Others
126,K00767,-24.51804934,Cofactor & Vitamin
127,K00632,-24.49928762,Others
128,K06217,-24.33607471,Others
129,K01935,-24.32069856,Cofactor & Vitamin
130,K03499,-24.24043223,Others
131,K06133,-24.2085514,Others
132,K01297,-24.17131008,Others
133,K07277,-24.15226622,Others
134,K20509,-24.10867695,Others
135,K14393,-24.05817546,Others
136,K10536,-23.96394363,Others
