Phylum_label_new,Phylum,Phylum_color,rgb
58,Thermoproteota,#2C3E50FF,"'64,0,75'"
1,Proteobacteria,#E31A1CFF,"'31,119,180'"
24,Nanoarchaeota,#18BC9CFF,"'229,202,40'"
28,Marinisomatota,#CCBE93FF,"'127,127,127'"
14,Bacteroidota,#A6CEE3FF,"'222,119,174'"
23,Patescibacteria,#1F78B4FF,"'109,154,88'"
16,Planctomycetota,#B2DF8AFF,"'33,113,181'"
3,Acidobacteriota,#FB9A99FF,"'32,135,148'"
12,Zixibacteria,#FDBF6FFF,"'190,29,45'"
11,Actinobacteriota,#FF7F00FF,"225,73,155'"
2,Eisenbacteria,#BFBFBF,"'241,226,184'"
4,Nitrospirota,#BFBFBF,"'231,197,187'"
5,Myxococcota_A,#BFBFBF,"'226,160,57'"
6,Desulfobacterota_B,#BFBFBF,"'193,235,149'"
7,Firmicutes,#BFBFBF,"'220,122,231'"
8,Elusimicrobiota,#BFBFBF,"'218,110,163'"
9,Nitrospinota,#BFBFBF,"'225,210,117'"
10,Chlamydiota,#BFBFBF,"'181,242,85'"
13,Desulfobacterota,#BFBFBF,"'184,147,232'"
15,Chloroflexota,#BFBFBF,"'237,132,68'"
17,Hydrogenedentota,#BFBFBF,"'240,230,140'"
18,Omnitrophota,#BFBFBF,"'127,203,73'"
19,Krumholzibacteriota,#BFBFBF,"'147,180,190'"
20,Aenigmatarchaeota,#BFBFBF,"'101,220,237'"
21,SM23-31,#BFBFBF,"'155,122,232'"
22,Latescibacterota,#BFBFBF,"'151,234,228'"
25,Sumerlaeota,#BFBFBF,"'174,238,198'"
26,KSB1,#BFBFBF,"'232,238,168'"
27,Desulfobacterota_D,#BFBFBF,"'92,135,129'"
29,Armatimonadota,#BFBFBF,"'215,67,190'"
30,OLB16,#BFBFBF,"'163,88,223'"
31,Poribacteria,#BFBFBF,"'86,187,122'"
32,GCA-001730085,#BFBFBF,"'220,237,217'"
33,Spirochaetota,#BFBFBF,"'226,64,76'"
34,SAR324,#BFBFBF,"'224,235,115'"
35,4484-113,#BFBFBF,"'164,81,150'"
36,Myxococcota,#BFBFBF,"'110,239,54'"
37,AABM5-125-24,#BFBFBF,"'168,241,130'"
38,CG03,#BFBFBF,"'89,91,161'"
39,UBA8248,#BFBFBF,"'148,146,178'"
40,Bdellovibrionota,#BFBFBF,"'207,180,118'"
41,Verrucomicrobiota,#BFBFBF,"'76,138,196'"
42,RBG-13-61-14,#BFBFBF,"'231,197,231'"
43,Gemmatimonadota,#BFBFBF,"'137,164,239'"
44,UBP15,#BFBFBF,"'156,129,104'"
45,Calditrichota,#BFBFBF,"'171,184,159'"
46,Asgardarchaeota,#BFBFBF,"'225,61,235'"
47,Aerophobota,#BFBFBF,"'99,240,220'"
48,UBP18,#BFBFBF,"'216,232,54'"
49,Fibrobacterota,#BFBFBF,"'199,173,227'"
50,Bdellovibrionota_E,#BFBFBF,"'133,154,63'"
51,JACPSX01,#BFBFBF,"'225,154,127'"
52,FCPU426,#BFBFBF,"'221,103,122'"
53,NPL-UPA2,#BFBFBF,"'109,188,225'"
54,FEN-1099,#BFBFBF,"'119,45,222'"
55,Margulisbacteria,#BFBFBF,"'139,229,161'"
56,Dependentiae,#BFBFBF,"'113,51,159'"
57,TA06,#BFBFBF,"'134,89,102'"
59,JdFR-76,#BFBFBF,"'229,161,181'"
60,Methylomirabilota,#BFBFBF,"'176,124,175'"
61,Iainarchaeota,#BFBFBF,"'200,233,240'"
62,UBA10199,#BFBFBF,"'185,210,160'"
63,Atribacterota,#BFBFBF,"'90,109,245'"
64,Micrarchaeota,#BFBFBF,"'205,193,197'"
65,Thermoplasmatota,#BFBFBF,"'139,117,0'"
