,Kindom,Phylum,Class,Order,Family,Genus,Species
FDZ031YE0.5.dereplicated_genomes.bin.28,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,,
FDZ031YE5.10.dereplicated_genomes.bin.119,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ031YE5.10.dereplicated_genomes.bin.52,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,,,
FDZ0325.10.dereplicated_genomes.bin.116,Bacteria,Acidobacteriota,Mor1,,,,
FDZ0325.10.dereplicated_genomes.bin.26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ033.Bk0.2.dereplicated_genomes.bin.50,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,
FDZ033.Bk20.22.dereplicated_genomes.bin.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,
FDZ033.Bk4.6.dereplicated_genomes.bin.11,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ033.GG18.20.dereplicated_genomes.bin.16,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,,
FDZ033.GG2.4.dereplicated_genomes.bin.6,Bacteria,Firmicutes,Bacilli,Bacillales_B,Bacillaceae_B,Rossellomorea,
FDZ033.GG2.4.dereplicated_genomes.bin.61,Bacteria,Acidobacteriota,UBA6911,RPQK01,,,
FDZ033.RG4.6.dereplicated_genomes.bin.17,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,UBA1565,
FDZ033.RR4.6.dereplicated_genomes.bin.2,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ033.RR4.6.dereplicated_genomes.bin.33,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,,,
FDZ033.YBk0.2.dereplicated_genomes.bin.26,Bacteria,Proteobacteria,Gammaproteobacteria,HK1,HK1,JAABYT01,
FDZ033.YBk0.2.dereplicated_genomes.bin.8,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,,
FDZ033.YBk26.28.dereplicated_genomes.bin.1,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ033.YG0.2.dereplicated_genomes.bin.108,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ033.YG0.2.dereplicated_genomes.bin.11,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
FDZ033.YG0.2.dereplicated_genomes.bin.110,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ033.YG0.2.dereplicated_genomes.bin.117,Bacteria,Desulfobacterota,,,,,
FDZ033.YG0.2.dereplicated_genomes.bin.36,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ033.YG0.2.dereplicated_genomes.bin.40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ033.YG0.2.dereplicated_genomes.bin.5,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ033.YG0.2.dereplicated_genomes.bin.71,Bacteria,Chlamydiota,Chlamydiia,,,,
FDZ033.YG0.2.dereplicated_genomes.bin.77,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,,
FDZ033.YG0.2.dereplicated_genomes.bin.86,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-001735895,GCA-001735895,GCA-001735895,
FDZ033.YG2.4.dereplicated_genomes.bin.102,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,,
FDZ033.YG2.4.dereplicated_genomes.bin.118,Bacteria,Acidobacteriota,Mor1,Gp22-AA2,,,
FDZ033.YG2.4.dereplicated_genomes.bin.13,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
FDZ033.YG2.4.dereplicated_genomes.bin.132,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ033.YG2.4.dereplicated_genomes.bin.138,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,,
FDZ033.YG2.4.dereplicated_genomes.bin.14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,,
FDZ033.YG2.4.dereplicated_genomes.bin.153,Bacteria,Myxococcota_A,UBA9160,UBA9160,UBA6930,,
FDZ033.YG2.4.dereplicated_genomes.bin.154,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,PALSA-1355,,
FDZ033.YG2.4.dereplicated_genomes.bin.163,Bacteria,Proteobacteria,Gammaproteobacteria,GCA-2729495,GCA-2729495,,
FDZ033.YG2.4.dereplicated_genomes.bin.18,Bacteria,Omnitrophota,,,,,
FDZ033.YG2.4.dereplicated_genomes.bin.3,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,,
FDZ033.YG2.4.dereplicated_genomes.bin.47,Bacteria,Planctomycetota,UBA1135,UBA2386,GCA-002748355,,
FDZ033.YG2.4.dereplicated_genomes.bin.58,Bacteria,Krumholzibacteriota,Krumholzibacteria,,,,
