Name,classification,Phylum,Class,Order,family,genus,species
FDZ031YE05dereplicatedgenomesbin28,Bacteria,Proteobacteria,Alphaproteobacteria,UBA6615,UBA6615,,
FDZ031YE510dereplicatedgenomesbin119,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,SMWF01,SMWF01 sp004357385
FDZ031YE510dereplicatedgenomesbin52,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,,,
FDZ032510dereplicatedgenomesbin116,Bacteria,Acidobacteriota,Mor1,JACPZX01,,,
FDZ032510dereplicatedgenomesbin26,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
FDZ033Bk02dereplicatedgenomesbin50,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,UBA8639,
FDZ033Bk2022dereplicatedgenomesbin1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium sp014873335
FDZ033Bk46dereplicatedgenomesbin11,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,SMWZ01,SMWZ01 sp004356455
FDZ033GG1820dereplicatedgenomesbin16,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,,
FDZ033GG24dereplicatedgenomesbin6,Bacteria,Firmicutes,Bacilli,Bacillales_B,Bacillaceae_B,Rossellomorea,
FDZ033GG24dereplicatedgenomesbin61,Bacteria,Acidobacteriota,UBA6911,RPQK01,,,
FDZ033RG46dereplicatedgenomesbin17,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,UBA1565,
FDZ033RR46dereplicatedgenomesbin2,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,,
FDZ033RR46dereplicatedgenomesbin33,Bacteria,Chlamydiota,Chlamydiia,Chlamydiales,JAFEGQ01,,
FDZ033YBk02dereplicatedgenomesbin26,Bacteria,Proteobacteria,Gammaproteobacteria,HK1,HK1,JAABYT01,
FDZ033YBk02dereplicatedgenomesbin8,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA11606,,
FDZ033YBk2628dereplicatedgenomesbin1,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ033YG02dereplicatedgenomesbin108,Bacteria,Myxococcota_A,UBA9160,UBA9160,SMWR01,,
FDZ033YG02dereplicatedgenomesbin11,Bacteria,Proteobacteria,Alphaproteobacteria,JAAXGF01,JAAXGF01,,
FDZ033YG02dereplicatedgenomesbin110,Bacteria,Zixibacteria,MSB-5A5,GN15,12-Feb,,
FDZ033YG02dereplicatedgenomesbin117,Bacteria,Desulfobacterota,JACPFL01,,,,
FDZ033YG02dereplicatedgenomesbin36,Bacteria,Myxococcota_A,UBA9160,SZUA-336,SZUA-336,,
FDZ033YG02dereplicatedgenomesbin40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,PRS1,
FDZ033YG02dereplicatedgenomesbin5,Bacteria,Zixibacteria,MSB-5A5,GN15,,,
FDZ033YG02dereplicatedgenomesbin71,Bacteria,Chlamydiota,Chlamydiia,JAAKFQ01,JAAKFQ01,,
